Dispositivo,Jornal,Retencao (Y),Total_Views (X1),Month (X2),Mobile_Dummy (X3)
Desktop,UOL,"0,7",386.898.788,abril,0
Mobile,UOL,"1,23",1.281.820.279,abril,1
Desktop,UOL,"0,74",451.624.398,maio,0
Mobile,UOL,"1,2",1.278.832.269,maio,1
Desktop,UOL,"0,63",387.961.469,junho,0
Mobile,UOL,"1,23",1.143.726.962,junho,1
Desktop,UOL,"0,71",398.193.441,julho,0
Mobile,UOL,"1,28",1.149.196.342,julho,1
Desktop,UOL,"0,67",447.598.345,agosto,0
Mobile,UOL,"1,26",1.143.325.449,agosto,1
Desktop,UOL,"0,71",434.405.040,setembro,0
Mobile,UOL,"1,23",1.153.893.205,setembro,1
Desktop,UOL,"0,57",444.509.067,outubro,0
Mobile,UOL,"1,15",1.075.509.902,outubro,1
Desktop,UOL,"0,53",395.088.921,novembro,0
Mobile,UOL,"1,12",1.193.135.549,novembro,1
Desktop,UOL,"0,55",371.193.516,dezembro,0
Mobile,UOL,"1,16",1.012.270.848,dezembro,1
Desktop,UOL,"0,54",349.993.891,janeiro,0
Mobile,UOL,"1,16",1.200.550.972,janeiro,1
Desktop,UOL,"0,47",319.721.656,fevereiro,0
Mobile,UOL,"1,1",1.158.614.197,fevereiro,1
Desktop,UOL,"0,46",392.131.745,março,0
Mobile,UOL,"1,22",1.136.559.764,março,1
Desktop,G1,"0,51",126.026.468,abril,0
Mobile,G1,"1,15",402.932.256,abril,1
Desktop,G1,"0,59",134.636.148,maio,0
Mobile,G1,"1,16",370.012.630,maio,1
Desktop,G1,"0,53",134.823.852,junho,0
Mobile,G1,"1,15",399.909.436,junho,1
Desktop,G1,"0,43",135.296.663,julho,0
Mobile,G1,"1,14",383.967.350,julho,1
Desktop,G1,"0,45",139.754.928,agosto,0
Mobile,G1,"1,15",383.533.286,agosto,1
Desktop,G1,"0,63",150.269.666,setembro,0
Mobile,G1,"1,16",358.513.598,setembro,1
Desktop,G1,"0,48",154.027.224,outubro,0
Mobile,G1,"1,12",362.657.280,outubro,1
Desktop,G1,"0,46",135.991.878,novembro,0
Mobile,G1,"1,09",350.876.330,novembro,1
Desktop,G1,"0,44",136.993.173,dezembro,0
Mobile,G1,"1,08",376.433.343,dezembro,1
Desktop,G1,"0,46",160.607.537,janeiro,0
Mobile,G1,"1,07",506.395.667,janeiro,1
Desktop,G1,"0,46",134.017.694,fevereiro,0
Mobile,G1,"1,1",373.228.979,fevereiro,1
Desktop,G1,"0,41",162.132.445,março,0
Mobile,G1,"1,1",401.048.923,março,1
Desktop,Estadao,"0,36",19.908.762,abril,0
Mobile,Estadao,"0,59",143.071.734,abril,1
Desktop,Estadao,"0,38",20.691.145,maio,0
Mobile,Estadao,"0,63",117.178.567,maio,1
Desktop,Estadao,"0,75",18.720.802,junho,0
Mobile,Estadao,"0,66",93.818.864,junho,1
Desktop,Estadao,"0,54",20.667.968,julho,0
Mobile,Estadao,"0,6",129.927.417,julho,1
Desktop,Estadao,"0,45",20.558.819,agosto,0
Mobile,Estadao,"0,63",122.312.249,agosto,1
Desktop,Estadao,"0,62",20.434.543,setembro,0
Mobile,Estadao,"0,64",104.836.326,setembro,1
Desktop,Estadao,"0,67",19.056.176,outubro,0
Mobile,Estadao,"0,63",105.606.765,outubro,1
Desktop,Estadao,"0,52",17.758.719,novembro,0
Mobile,Estadao,"0,83",64.423.179,novembro,1
Desktop,Estadao,"0,44",17.021.446,dezembro,0
Mobile,Estadao,"0,86",66.513.519,dezembro,1
Desktop,Estadao,"0,39",18.190.429,janeiro,0
Mobile,Estadao,"0,84",54.323.360,janeiro,1
Desktop,Estadao,"0,58",16.581.879,fevereiro,0
Mobile,Estadao,"0,94",43.935.473,fevereiro,1
Desktop,Estadao,"0,61",22.079.824,março,0
Mobile,Estadao,"0,98",44.242.626,março,1
