ano,sigla_uf,id_municipio,ibc,cobertura_pop_4g5g,fibra,densidade_smp,hhi_smp,densidade_scm,hhi_scm,adensamento_estacoes
2024.0,RO,1100296.0,49.92,62.9831,100.0,44.0,51.0,23.87,47.0,44.21
2024.0,AC,1200351.0,16.28,30.347,,36.72,16.0,8.04,59.0,8.36
2024.0,AM,1300839.0,29.17,50.9133,,26.62,7.0,75.21,71.0,17.47
2024.0,AM,1302207.0,20.06,53.331,,36.33,36.0,5.85,19.0,13.45
2024.0,PA,1501204.0,34.08,52.82,100.0,20.46,15.0,2.85,52.0,6.26
2024.0,SP,1505908.0,20.54,44.8193,,32.96,29.0,7.69,72.0,5.72
2024.0,SP,1707702.0,33.71,58.2097,,49.99,9.0,1.85,70.0,19.17
2024.0,SP,1711506.0,45.29,50.8875,100.0,41.38,11.0,12.93,43.0,58.77
2024.0,SP,1717008.0,35.01,68.5485,50.0,45.65,2.0,2.88,70.0,21.76
2024.0,MA,2101731.0,40.34,66.4865,100.0,30.83,2.0,6.4,41.0,17.21
2024.0,MA,2104107.0,44.39,62.9898,,49.06,50.0,4.02,76.0,7.72
2024.0,MA,2109007.0,53.05,81.0044,,55.71,66.0,26.19,70.0,8.16
2024.0,PI,2206951.0,39.4,50.1991,,53.64,4.0,0.35,55.0,51.98
2024.0,PI,2210003.0,47.18,71.7456,,50.83,15.0,28.11,55.0,15.88
2024.0,PI,2210052.0,40.8,63.5476,50.0,49.56,8.0,9999.0,70.0,30.57
2024.0,CE,2303501.0,65.35,95.4305,,57.6,67.0,43.73,79.0,20.95
2024.0,CE,2303659.0,41.15,65.4385,50.0,35.09,32.0,35.15,6.0,32.36
2024.0,CE,2311959.0,37.75,60.2742,,31.04,32.0,4.81,50.0,17.42
2024.0,RN,2401651.0,36.42,62.5172,,19.24,63.0,14.71,57.0,63.48
2024.0,RN,2408102.0,80.11,99.9986,,75.13,69.0,70.2,72.0,40.25
2024.0,RN,2411403.0,31.05,47.7975,,34.97,43.0,6.79,45.0,11.77
2024.0,PB,2502706.0,47.49,97.986,,53.57,35.0,0.18,67.0,35.45
2024.0,PB,2503555.0,29.5,38.4626,,25.9,29.0,0.07,71.0,26.75
2024.0,PB,2512077.0,50.94,91.0633,,36.96,13.0,23.42,65.0,24.27
2024.0,PB,2513109.0,29.93,56.2994,,27.62,41.0,18.41,62.0,17.01
2024.0,PE,2605202.0,61.95,93.4749,,56.24,35.0,32.36,49.0,15.26
2024.0,PE,2605509.0,49.74,99.4585,,31.31,9.0,24.0,49.0,12.66
2024.0,PE,2606507.0,25.37,52.8642,,58.23,4.0,3.41,15.0,17.04
2024.0,PE,2606903.0,36.65,63.8713,,35.86,48.0,0.73,78.0,35.19
2024.0,PE,2613701.0,68.4,99.3649,,55.13,65.0,28.1,63.0,25.9
2024.0,PE,2616100.0,27.31,58.3722,,24.69,40.0,21.37,36.0,10.56
2024.0,AL,2707107.0,45.68,81.0416,,47.59,45.0,12.64,58.0,19.52
2024.0,BA,2901155.0,60.08,91.9118,,80.12,20.0,18.1,19.0,28.88
2024.0,BA,2902401.0,41.07,79.7963,,45.08,6.0,12.53,39.0,17.53
2024.0,BA,2904209.0,35.36,48.1374,,36.13,54.0,1.71,71.0,13.15
2024.0,BA,2906824.0,28.42,61.4003,,44.65,59.0,0.21,70.0,18.01
2024.0,BA,2918506.0,50.76,83.426,,42.98,45.0,19.62,50.0,17.69
2024.0,BA,2926202.0,22.85,52.5052,,31.79,42.0,10.01,37.0,15.68
2024.0,BA,2930006.0,22.37,42.0995,,25.92,47.0,0.86,66.0,15.61
2024.0,BA,2931608.0,30.68,56.0438,50.0,32.39,5.0,4.13,17.0,6.28
2024.0,MG,3101003.0,40.47,85.921,50.0,41.69,31.0,14.74,16.0,17.26
2024.0,MG,3102605.0,57.75,90.895,50.0,58.51,48.0,61.21,18.0,21.29
2024.0,MG,3110905.0,47.1,96.3774,0.0,55.39,44.0,15.69,59.0,18.37
2024.0,MG,3115409.0,39.68,58.2781,,45.14,38.0,5.97,58.0,47.76
2024.0,MG,3125606.0,31.09,76.8789,0.0,44.9,44.0,9.48,26.0,22.75
2024.0,MG,3136801.0,36.72,74.9106,0.0,40.59,7.0,0.92,67.0,52.42
2024.0,MG,3139201.0,54.62,75.0703,100.0,48.38,47.0,28.67,41.0,11.27
2024.0,MG,3149903.0,70.14,97.9864,100.0,63.69,28.0,61.67,45.0,31.83
2024.0,MG,3152402.0,45.0,71.4009,100.0,46.79,41.0,8.87,41.0,50.55
2024.0,MG,3160702.0,0.67,96.1875,,56.61,59.0,66.22,70.0,20.74
2024.0,MG,3161106.0,53.17,83.2654,100.0,53.7,26.0,6.87,62.0,19.36
2024.0,MG,3162252.0,32.07,67.6426,0.0,47.35,16.0,2.42,48.0,40.4
2024.0,MG,3162658.0,38.39,71.6677,0.0,43.12,0.0,0.43,79.0,49.36
2024.0,MG,3163300.0,34.55,74.6998,,48.44,47.0,5.36,23.0,42.84
2024.0,ES,3201159.0,55.34,63.6454,100.0,50.56,4.0,30.71,49.0,29.32
2024.0,RJ,3301603.0,60.09,76.666,100.0,48.93,56.0,40.62,64.0,26.42
2024.0,RJ,3301801.0,67.37,84.3274,,61.31,64.0,3.48,80.0,47.44
2024.0,SP,3503109.0,69.44,93.5156,,52.56,29.0,65.21,56.0,56.74
2024.0,SP,3507407.0,67.52,96.8684,,65.33,19.0,65.7,32.0,41.62
2024.0,SP,3508009.0,58.82,85.776,,53.44,16.0,58.04,63.0,14.51
2024.0,SP,3508702.0,59.06,79.2854,,52.5,52.0,40.57,65.0,14.48
2024.0,SP,3519253.0,54.56,68.3914,100.0,34.02,31.0,77.64,49.0,54.5
2024.0,SP,3520608.0,63.45,96.238,50.0,66.0,30.0,53.17,49.0,48.16
2024.0,SP,3521606.0,57.37,97.5349,100.0,48.85,63.0,28.55,61.0,27.99
2024.0,SP,3523701.0,69.27,90.3133,,78.52,36.0,67.31,69.0,25.59
2024.0,SP,3525201.0,80.01,99.4472,,79.22,51.0,74.15,81.0,35.42
2024.0,SP,3525706.0,67.27,97.7111,100.0,64.81,55.0,57.17,25.0,21.13
2024.0,SP,3525805.0,63.73,98.5387,,54.05,44.0,14.33,60.0,34.82
2024.0,SP,3530409.0,58.44,95.0773,50.0,62.27,50.0,34.53,43.0,41.92
2024.0,SP,3532306.0,56.88,68.1085,,57.36,37.0,9.95,79.0,100.0
2024.0,SP,3535101.0,66.11,99.7692,,62.76,36.0,34.84,48.0,15.45
2024.0,SP,3536109.0,78.26,95.5331,100.0,65.59,52.0,100.0,48.0,33.87
2024.0,SP,3549607.0,58.63,81.7837,,55.69,26.0,66.12,76.0,76.96
2024.0,SP,3549805.0,79.86,99.987,100.0,76.08,72.0,81.21,76.0,20.83
2024.0,SP,3552809.0,73.18,100.0,100.0,62.04,67.0,61.71,69.0,13.19
2024.0,SP,3556602.0,65.65,95.3653,100.0,55.61,51.0,24.04,69.0,29.14
2024.0,PR,4101507.0,74.69,99.1601,,63.99,59.0,68.09,86.0,21.39
2024.0,PR,4103206.0,63.22,90.0253,100.0,65.11,51.0,11.12,54.0,37.44
2024.0,PR,4103503.0,67.03,92.5294,,61.28,49.0,16.48,75.0,33.63
2024.0,PR,4106852.0,62.01,69.1432,100.0,70.47,6.0,11.91,64.0,69.06
2024.0,PR,4109500.0,37.54,56.2775,0.0,46.68,44.0,2.44,62.0,80.28
2024.0,PR,4114609.0,71.95,93.9317,100.0,61.9,53.0,82.34,59.0,17.2
2024.0,PR,4117701.0,63.84,76.5277,,58.03,48.0,45.51,83.0,30.17
2024.0,PR,4119954.0,79.43,95.7116,,91.23,64.0,58.26,45.0,50.89
2024.0,PR,4125407.0,47.02,72.3876,50.0,41.25,25.0,19.88,20.0,49.5
2024.0,PR,4125753.0,62.61,87.7662,50.0,51.45,59.0,43.99,57.0,52.0
2024.0,PR,4126009.0,65.75,96.6545,100.0,51.53,53.0,35.9,58.0,18.52
2024.0,SC,4200408.0,57.99,62.574,,52.21,50.0,54.75,55.0,45.28
2024.0,SC,4201802.0,55.24,72.8109,,20.96,43.0,39.83,43.0,30.58
2024.0,SC,4206603.0,71.65,85.7468,100.0,68.23,57.0,53.28,64.0,30.62
2024.0,SC,4207700.0,55.11,54.6416,,47.0,48.0,64.07,29.0,24.8
2024.0,SC,4210506.0,75.49,95.2394,,64.55,65.0,79.39,65.0,18.24
2024.0,SC,4211603.0,79.06,92.581,100.0,86.86,55.0,81.26,72.0,35.8
2024.0,SC,4211652.0,65.07,55.8812,100.0,85.32,29.0,9.36,57.0,74.91
2024.0,SC,4215653.0,60.61,84.4765,50.0,81.34,54.0,56.3,32.0,24.3
2024.0,SC,4218905.0,66.3,70.7199,,65.59,58.0,100.0,61.0,31.68
2024.0,SC,4219705.0,64.46,91.5879,,59.36,62.0,35.04,50.0,8.85
2024.0,GO,5208905.0,48.38,73.911,100.0,56.82,63.0,21.83,39.0,12.38
2024.0,GO,5210109.0,49.72,74.2788,,52.21,53.0,33.03,53.0,13.38
2024.0,GO,5212006.0,46.82,83.2894,100.0,19.03,39.0,1.19,66.0,33.94
2024.0,GO,5215009.0,71.03,96.6863,,73.69,60.0,33.25,67.0,25.54
2024.0,GO,5216809.0,57.19,77.736,,55.08,59.0,20.86,72.0,55.05
2024.0,GO,5219803.0,40.14,55.4694,,40.16,1.0,4.02,57.0,31.31
2024.0,GO,5222203.0,45.87,76.5634,,69.77,41.0,14.04,54.0,35.84
2023.0,RO,1101450.0,30.68,46.0039,0.0,58.14,61.0,15.09,44.0,20.19
2023.0,AM,1303569.0,52.88,59.6358,100.0,70.18,50.0,5.06,71.0,9.19
2023.0,PA,1502152.0,64.53,85.5102,100.0,89.93,54.0,18.26,88.0,6.75
2023.0,PA,1502806.0,18.1,37.1173,,36.15,8.0,2.88,59.0,3.07
2023.0,PA,1505551.0,51.04,61.4005,,61.23,25.0,7.12,82.0,9.01
2023.0,PA,1506559.0,46.85,56.8125,,53.73,34.0,4.99,58.0,4.09
2023.0,PA,1508035.0,43.91,71.5181,,31.07,16.0,3.64,60.0,4.37
2023.0,TO,1714302.0,31.52,65.3541,0.0,47.92,70.0,0.58,77.0,18.43
2023.0,TO,1717503.0,24.11,57.3138,,31.5,50.0,5.08,54.0,8.76
2023.0,MA,2100873.0,45.81,58.3208,,52.15,43.0,4.93,17.0,11.17
2023.0,MA,2101509.0,44.11,57.6035,,39.03,3.0,14.97,55.0,4.39
2023.0,MA,2101772.0,54.6,81.1903,100.0,57.18,47.0,13.2,61.0,7.09
2023.0,MA,2102036.0,50.59,64.406,,50.73,64.0,3.42,76.0,7.28
2023.0,MA,2102606.0,28.28,78.7053,0.0,54.98,2.0,1.12,58.0,5.22
2023.0,MA,2104651.0,44.06,51.1924,100.0,38.66,72.0,6.17,29.0,5.83
2023.0,MA,2107258.0,48.33,56.8405,,55.18,32.0,1.12,83.0,8.3
2023.0,MA,2112100.0,49.1,64.7016,100.0,43.37,66.0,4.29,80.0,2.36
2023.0,MA,2112852.0,47.26,61.3795,100.0,50.76,68.0,8.41,17.0,4.02
2023.0,PI,2201556.0,50.3,70.0422,,66.93,25.0,2.14,30.0,15.27
2023.0,PI,2201903.0,57.4,77.7448,,88.75,46.0,15.0,11.0,7.95
2023.0,PI,2205250.0,22.93,65.2204,0.0,39.39,12.0,3.89,16.0,14.95
2023.0,PI,2209104.0,41.88,76.7884,,13.67,8.0,19.02,20.0,7.14
2023.0,CE,2300309.0,56.08,82.5757,100.0,56.75,65.0,13.48,50.0,13.9
2023.0,CE,2305902.0,54.29,89.857,,34.77,78.0,10.66,72.0,10.75
2023.0,CE,2310209.0,60.94,98.6685,100.0,67.12,78.0,11.68,58.0,8.07
2023.0,CE,2310902.0,49.47,76.2513,100.0,34.67,44.0,6.35,80.0,10.03
2023.0,RN,2402105.0,29.47,90.0237,,21.0,73.0,13.9,35.0,8.15
2023.0,RN,2405702.0,61.17,90.7313,,78.48,71.0,14.88,50.0,5.36
2023.0,RN,2407807.0,57.69,97.9279,,50.8,75.0,13.19,67.0,2.71
2023.0,RN,2409209.0,47.44,99.9999,,77.47,78.0,58.57,69.0,20.06
2023.0,PB,2500734.0,32.12,90.2108,,64.07,8.0,3.11,18.0,18.64
2023.0,PB,2506301.0,62.86,98.9175,,71.98,87.0,17.74,53.0,4.35
